A;Alicante ;03
AB;Albacete;02
AL;Almeria;04
AV;Avila;05
B;Barcelona;08
BA;Badajoz;06
BI;Vizcaya;48
BU;Burgos;09
C;Coruna;15
CA;Cadiz;11
CC;Caceres;10
CE;Ceuta;51
CO;Cordoba;14
CR;Ciudad Real;13
CS;Castellon;12
CU;Cuenca;16
GC;Las Palmas;35
GI;Girona;17
GR;Granada;18
GU;Guadalajara;19
H;Huelva;21
HU;Huesca;22
IB;Baleares;07
J;Jaen;23
L;Lleida;25
LE;Leon;24
LO;La Rioja;26
LU;Lugo;27
M;Madrid;28
MA;Malaga;29
ML;Melilla;52
MU;Murcia;30
NA;Navarra;31
O;Asturias;33
OU;Ourense;32
P;Palencia;34
PO;Pontevedra;36
S;Cantabria;39
SA;Salamanca;37
SE;Sevilla;41
SG;Segovia;40
SO;Soria;42
SS;Guipuzcoa;20
T;Tarragona;43
TE;Teruel;44
TF;Tenerife;38
TO;Toledo;45
V;Valencia;46
VA;Valladolid;47
VI;Alava;01
Z;Zaragoza;50
ZA;Zamora;49
